username,repo_name,stars,repo_url
mrdoob,three.js,https://github.com/mrdoob/three.js,80600
libgdx,libgdx,https://github.com/libgdx/libgdx,19800
pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber,17300
BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js,16200
aframevr,aframe,https://github.com/aframevr/aframe,14000
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,13300
lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,12500
FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,11000
metafizzy,zdog,https://github.com/metafizzy/zdog,9100
CesiumGS,cesium,https://github.com/CesiumGS/cesium,8500
timzhang642,3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning,7800
a1studmuffin,SpaceshipGenerator,https://github.com/a1studmuffin/SpaceshipGenerator,7100
isl-org,Open3D,https://github.com/isl-org/Open3D,6400
blender,blender,https://github.com/blender/blender,5200
domlysz,BlenderGIS,https://github.com/domlysz/BlenderGIS,5000
spritejs,spritejs,https://github.com/spritejs/spritejs,4800
openscad,openscad,https://github.com/openscad/openscad,4700
tensorspace-team,tensorspace,https://github.com/tensorspace-team/tensorspace,4600
jagenjo,webglstudio.js,https://github.com/jagenjo/webglstudio.js,4600
YadiraF,PRNet,https://github.com/YadiraF/PRNet,4600
AaronJackson,vrn,https://github.com/AaronJackson/vrn,4400
google,model-viewer,https://github.com/google/model-viewer,4100
ssloy,tinyraytracer,https://github.com/ssloy/tinyraytracer,4100
mosra,magnum,https://github.com/mosra/magnum,3900
gfxfundamentals,webgl-fundamentals,https://github.com/gfxfundamentals/webgl-fundamentals,3500
FyroxEngine,Fyrox,https://github.com/FyroxEngine/Fyrox,3500
tengbao,vanta,https://github.com/tengbao/vanta,3300
cleardusk,3DDFA,https://github.com/cleardusk/3DDFA,3200
jasonlong,isometric-contributions,https://github.com/jasonlong/isometric-contributions,3100
cnr-isti-vclab,meshlab,https://github.com/cnr-isti-vclab/meshlab,2900
