username,repo_name,stars,repo_url
public-apis,public-apis,https://github.com/public-apis/public-apis,187000
neovim,neovim,https://github.com/neovim/neovim,52000
strapi,strapi,https://github.com/strapi/strapi,44000
tiangolo,fastapi,https://github.com/tiangolo/fastapi,43500
hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,41400
slatedocs,slate,https://github.com/slatedocs/slate,33900
hasura,graphql-engine,https://github.com/hasura/graphql-engine,26300
YMFE,yapi,https://github.com/YMFE/yapi,23900
ccxt,ccxt,https://github.com/ccxt/ccxt,23800
Binaryify,NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,23400
encode,django-rest-framework,https://github.com/encode/django-rest-framework,23100
littlecodersh,ItChat,https://github.com/littlecodersh/ItChat,22100
paularmstrong,normalizr,https://github.com/paularmstrong/normalizr,20900
Kong,insomnia,https://github.com/Kong/insomnia,20400
FallibleInc,security-guide-for-developers,https://github.com/FallibleInc/security-guide-for-developers,20100
microsoft,api-guidelines,https://github.com/microsoft/api-guidelines,19000
pubkey,rxdb,https://github.com/pubkey/rxdb,17200
shieldfy,API-Security-Checklist,https://github.com/shieldfy/API-Security-Checklist,17000
directus,directus,https://github.com/directus/directus,14700
ChainSafe,web3.js,https://github.com/ChainSafe/web3.js,14100
learn-anything,learn-anything,https://github.com/learn-anything/learn-anything,13700
youfou,wxpy,https://github.com/youfou/wxpy,13200
jsdoc,jsdoc,https://github.com/jsdoc/jsdoc,12800
BrainJS,brain.js,https://github.com/BrainJS/brain.js,12500
fangzesheng,free-api,https://github.com/fangzesheng/free-api,12000
OpenAPITools,openapi-generator,https://github.com/OpenAPITools/openapi-generator,11700
graphile,postgraphile,https://github.com/graphile/postgraphile,11200
go-chi,chi,https://github.com/go-chi/chi,11200
postmanlabs,httpbin,https://github.com/postmanlabs/httpbin,10700
star7th,showdoc,https://github.com/star7th/showdoc,10300
