username,repo_name,stars,repo_url
dotnet,AspNetCore.Docs,https://github.com/dotnet/AspNetCore.Docs,10300
aspnetboilerplate,aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate,10300
bitwarden,server,https://github.com/bitwarden/server,9500
nopSolutions,nopCommerce,https://github.com/nopSolutions/nopCommerce,7100
ElectronNET,Electron.NET,https://github.com/ElectronNET/Electron.NET,6200
RicoSuter,NSwag,https://github.com/RicoSuter/NSwag,5000
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,4800
JimBobSquarePants,ImageProcessor,https://github.com/JimBobSquarePants/ImageProcessor,2500
smartstore,SmartStoreNET,https://github.com/smartstore/SmartStoreNET,2400
dotnet,aspnet-api-versioning,https://github.com/dotnet/aspnet-api-versioning,2200
loic-sharma,BaGet,https://github.com/loic-sharma/BaGet,2000
mjebrahimi,Awesome-Microservices-DotNet,https://github.com/mjebrahimi/Awesome-Microservices-DotNet,1700
TrilonIO,aspnetcore-angular-universal,https://github.com/TrilonIO/aspnetcore-angular-universal,1500
TrilonIO,aspnetcore-Vue-starter,https://github.com/TrilonIO/aspnetcore-Vue-starter,1200
MarimerLLC,csla,https://github.com/MarimerLLC/csla,998
riganti,dotvvm,https://github.com/riganti/dotvvm,601
cornflourblue,aspnet-core-3-jwt-authentication-api,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api,594
json-api-dotnet,JsonApiDotNetCore,https://github.com/json-api-dotnet/JsonApiDotNetCore,548
antonioCoco,SharPyShell,https://github.com/antonioCoco/SharPyShell,538
chsakell,mvcarchitecture,https://github.com/chsakell/mvcarchitecture,454
brthor,Gofer.NET,https://github.com/brthor/Gofer.NET,436
YAFNET,YAFNET,https://github.com/YAFNET/YAFNET,427
IvanJosipovic,BlazorTable,https://github.com/IvanJosipovic/BlazorTable,385
Maarten88,rrod,https://github.com/Maarten88/rrod,378
SapphireDb,SapphireDb,https://github.com/SapphireDb/SapphireDb,371
Taritsyn,WebMarkupMin,https://github.com/Taritsyn/WebMarkupMin,358
chsakell,aspnet-core-identity,https://github.com/chsakell/aspnet-core-identity,342
EEParker,aspnetcore-vueclimiddleware,https://github.com/EEParker/aspnetcore-vueclimiddleware,324
smartstore,Smartstore,https://github.com/smartstore/Smartstore,293
ALMMa,datatables.aspnet,https://github.com/ALMMa/datatables.aspnet,282
