username,repo_name,stars,repo_url
metafizzy,infinite-scroll,https://github.com/metafizzy/infinite-scroll,7100
ljianshu,Blog,https://github.com/ljianshu/Blog,7000
developit,unfetch,https://github.com/developit/unfetch,5300
jquery-form,form,https://github.com/jquery-form/form,5100
olifolkerd,tabulator,https://github.com/olifolkerd/tabulator,4500
Studio-42,elFinder,https://github.com/Studio-42/elFinder,4200
ded,reqwest,https://github.com/ded/reqwest,2900
dwyl,learn-to-send-email-via-google-script-html-no-server,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,2800
elbywan,wretch,https://github.com/elbywan/wretch,2400
LeaVerou,bliss,https://github.com/LeaVerou/bliss,2400
noelboss,featherlight,https://github.com/noelboss/featherlight,2000
wendux,Ajax-hook,https://github.com/wendux/Ajax-hook,2000
yisainan,web-interview,https://github.com/yisainan/web-interview,2000
craftpip,jquery-confirm,https://github.com/craftpip/jquery-confirm,1800
ptaoussanis,sente,https://github.com/ptaoussanis/sente,1600
joaomilho,Enterprise,https://github.com/joaomilho/Enterprise,1500
nette,tracy,https://github.com/nette/tracy,1500
u014427391,jeeplatform,https://github.com/u014427391/jeeplatform,1300
loadingio,css-spinner,https://github.com/loadingio/css-spinner,1300
MoOx,pjax,https://github.com/MoOx/pjax,1300
codingforentrepreneurs,eCommerce,https://github.com/codingforentrepreneurs/eCommerce,1200
danielm,uploader,https://github.com/danielm/uploader,1100
renderedtext,render_async,https://github.com/renderedtext/render_async,1000
swlib,saber,https://github.com/swlib/saber,949
proyecto26,RestClient,https://github.com/proyecto26/RestClient,884
k8w,tsrpc,https://github.com/k8w/tsrpc,875
webcreate,infinite-ajax-scroll,https://github.com/webcreate/infinite-ajax-scroll,852
opensource-socialnetwork,opensource-socialnetwork,https://github.com/opensource-socialnetwork/opensource-socialnetwork,846
rapidjs,rapid.js,https://github.com/rapidjs/rapid.js,707
csxiaoyaojianxian,JavaScriptStudy,https://github.com/csxiaoyaojianxian/JavaScriptStudy,603
