username,repo_name,stars,repo_url
jwasham,coding-interview-university,https://github.com/jwasham/coding-interview-university,215000
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,149000
trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,138000
TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,133000
yangshun,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,68000
kdn251,interviews,https://github.com/kdn251/interviews,56700
azl397985856,leetcode,https://github.com/azl397985856/leetcode,47200
TheAlgorithms,Java,https://github.com/TheAlgorithms/Java,45300
algorithm-visualizer,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,36600
crossoverJie,JCSprout,https://github.com/crossoverJie/JCSprout,26600
donnemartin,interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,25000
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,24900
halfrost,LeetCode-Go,https://github.com/halfrost/LeetCode-Go,23900
huihut,interview,https://github.com/huihut/interview,23400
keon,algorithms,https://github.com/keon/algorithms,20600
trekhleb,homemade-machine-learning,https://github.com/trekhleb/homemade-machine-learning,19100
TheAlgorithms,Javascript,https://github.com/TheAlgorithms/Javascript,18800
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,18800
mxgmn,WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse,17500
AtsushiSakai,PythonRobotics,https://github.com/AtsushiSakai/PythonRobotics,14800
greyireland,algorithm-pattern,https://github.com/greyireland/algorithm-pattern,13300
OpenGenus,cosmos,https://github.com/OpenGenus/cosmos,13000
williamfiset,Algorithms,https://github.com/williamfiset/Algorithms,12300
halfrost,Halfrost-Field,https://github.com/halfrost/Halfrost-Field,10800
apachecn,apachecn-algo-zh,https://github.com/apachecn/apachecn-algo-zh,10500
lnishan,awesome-competitive-programming,https://github.com/lnishan/awesome-competitive-programming,9500
Blankj,awesome-java-leetcode,https://github.com/Blankj/awesome-java-leetcode,8400
jeffgerickson,algorithms,https://github.com/jeffgerickson/algorithms,7500
mgechev,javascript-algorithms,https://github.com/mgechev/javascript-algorithms,7200
LeetCode-OpenSource,vscode-leetcode,https://github.com/LeetCode-OpenSource/vscode-leetcode,7200
