username,repo_name,stars,repo_url
serverless,serverless,https://github.com/serverless/serverless,42400
localstack,localstack,https://github.com/localstack/localstack,39300
donnemartin,data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,22700
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,21900
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,12600
aws,aws-cli,https://github.com/aws/aws-cli,12200
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,12000
pulumi,pulumi,https://github.com/pulumi/pulumi,11900
donnemartin,awesome-aws,https://github.com/donnemartin/awesome-aws,10200
mozilla,sops,https://github.com/mozilla/sops,9400
apereo,cas,https://github.com/apereo/cas,9300
aws,chalice,https://github.com/aws/chalice,8800
aws-amplify,amplify-js,https://github.com/aws-amplify/amplify-js,8700
apex,up,https://github.com/apex/up,8500
aws,serverless-application-model,https://github.com/aws/serverless-application-model,8500
aws,aws-cdk,https://github.com/aws/aws-cdk,8500
caprover,caprover,https://github.com/caprover/caprover,8300
google,go-cloud,https://github.com/google/go-cloud,8300
angristan,openvpn-install,https://github.com/angristan/openvpn-install,7800
aws,aws-sdk-go,https://github.com/aws/aws-sdk-go,7500
boto,boto3,https://github.com/boto/boto3,7100
GoogleCloudPlatform,terraformer,https://github.com/GoogleCloudPlatform/terraformer,7100
hashicorp,terraform-provider-aws,https://github.com/hashicorp/terraform-provider-aws,7100
aws,aws-sdk-js,https://github.com/aws/aws-sdk-js,7000
aws,amazon-sagemaker-examples,https://github.com/aws/amazon-sagemaker-examples,6700
awslabs,aws-shell,https://github.com/awslabs/aws-shell,6500
infracost,infracost,https://github.com/infracost/infracost,6100
99designs,aws-vault,https://github.com/99designs/aws-vault,6000
gruntwork-io,terratest,https://github.com/gruntwork-io/terratest,6000
aws,aws-sam-cli,https://github.com/aws/aws-sam-cli,5900
