username,repo_name,stars,repo_url
amphp,amp,https://github.com/amphp/amp,3600
danog,MadelineProto,https://github.com/danog/MadelineProto,1900
amphp,http-server,https://github.com/amphp/http-server,1200
unreal4u,telegram-api,https://github.com/unreal4u/telegram-api,697
amphp,http-client,https://github.com/amphp/http-client,600
amphp,parallel,https://github.com/amphp/parallel,572
php-service-bus,service-bus,https://github.com/php-service-bus/service-bus,316
amphp,byte-stream,https://github.com/amphp/byte-stream,278
amphp,mysql,https://github.com/amphp/mysql,270
amphp,parallel-functions,https://github.com/amphp/parallel-functions,221
amphp,process,https://github.com/amphp/process,165
amphp,socket,https://github.com/amphp/socket,154
amphp,redis,https://github.com/amphp/redis,121
amphp,dns,https://github.com/amphp/dns,110
kelunik,acme,https://github.com/kelunik/acme,107
amphp,sync,https://github.com/amphp/sync,100
amphp,websocket-client,https://github.com/amphp/websocket-client,98
PeeHaa,mailgrab,https://github.com/PeeHaa/mailgrab,91
amphp,websocket-server,https://github.com/amphp/websocket-server,75
amphp,file,https://github.com/amphp/file,72
jolicode,asynit,https://github.com/jolicode/asynit,69
amphp,cache,https://github.com/amphp/cache,67
amphp,serialization,https://github.com/amphp/serialization,65
amphp,postgres,https://github.com/amphp/postgres,64
amphp,windows-registry,https://github.com/amphp/windows-registry,61
amphp,hpack,https://github.com/amphp/hpack,60
amphp,beanstalk,https://github.com/amphp/beanstalk,57
phpinnacle,ridge,https://github.com/phpinnacle/ridge,45
amphp,aerys,https://github.com/amphp/aerys,43
amphp,cluster,https://github.com/amphp/cluster,41
