username,repo_name,stars,repo_url
flutter,flutter,https://github.com/flutter/flutter,138000
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,89800
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,63200
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,50100
google,material-design-icons,https://github.com/google/material-design-icons,45400
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,42300
square,okhttp,https://github.com/square/okhttp,41900
android,architecture-samples,https://github.com/android/architecture-samples,40400
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,39900
square,retrofit,https://github.com/square/retrofit,39800
PhilJay,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,34900
fastlane,fastlane,https://github.com/fastlane/fastlane,34300
airbnb,lottie-android,https://github.com/airbnb/lottie-android,32600
shadowsocks,shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,32400
bumptech,glide,https://github.com/bumptech/glide,32400
Trinea,android-open-project,https://github.com/Trinea/android-open-project,30900
Blankj,AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,30600
xitu,gold-miner,https://github.com/xitu/gold-miner,30400
bilibili,ijkplayer,https://github.com/bilibili/ijkplayer,30200
skylot,jadx,https://github.com/skylot/jadx,29500
zxing,zxing,https://github.com/zxing/zxing,29300
laurent22,joplin,https://github.com/laurent22/joplin,28900
codepath,android_guides,https://github.com/codepath/android_guides,27700
square,leakcanary,https://github.com/square/leakcanary,27400
alibaba,fastjson,https://github.com/alibaba/fastjson,24200
scwang90,SmartRefreshLayout,https://github.com/scwang90/SmartRefreshLayout,23400
CymChad,BaseRecyclerViewAdapterHelper,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,22700
react-native-elements,react-native-elements,https://github.com/react-native-elements/react-native-elements,22200
google,iosched,https://github.com/google/iosched,21200
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,21000
