username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,89800
angular,angular,https://github.com/angular/angular,80500
storybookjs,storybook,https://github.com/storybookjs/storybook,69600
leonardomso,33-js-concepts,https://github.com/leonardomso/33-js-concepts,48000
ionic-team,ionic-framework,https://github.com/ionic-team/ionic-framework,46600
prettier,prettier,https://github.com/prettier/prettier,42300
SheetJS,sheetjs,https://github.com/SheetJS/sheetjs,29600
angular,angular-cli,https://github.com/angular/angular-cli,25300
angular,components,https://github.com/angular/components,22600
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,21000
jhipster,generator-jhipster,https://github.com/jhipster/generator-jhipster,19400
pubkey,rxdb,https://github.com/pubkey/rxdb,17200
handsontable,handsontable,https://github.com/handsontable/handsontable,16400
teambit,bit,https://github.com/teambit/bit,15000
goldbergyoni,javascript-testing-best-practices,https://github.com/goldbergyoni/javascript-testing-best-practices,14800
sweetalert2,sweetalert2,https://github.com/sweetalert2/sweetalert2,14300
linnovate,mean,https://github.com/linnovate/mean,12200
nrwl,nx,https://github.com/nrwl/nx,11600
codesandbox,codesandbox-client,https://github.com/codesandbox/codesandbox-client,11400
Chocobozzz,PeerTube,https://github.com/Chocobozzz/PeerTube,10500
PatrickJS,angular-starter,https://github.com/PatrickJS/angular-starter,10400
sudheerj,javascript-interview-questions,https://github.com/sudheerj/javascript-interview-questions,9000
angular,protractor,https://github.com/angular/protractor,8800
OnsenUI,OnsenUI,https://github.com/OnsenUI/OnsenUI,8600
dotansimha,graphql-code-generator,https://github.com/dotansimha/graphql-code-generator,8500
PatrickJS,awesome-angular,https://github.com/PatrickJS/awesome-angular,8300
jasontaylordev,CleanArchitecture,https://github.com/jasontaylordev/CleanArchitecture,8200
ag-grid,ag-grid,https://github.com/ag-grid/ag-grid,8200
text-mask,text-mask,https://github.com/text-mask/text-mask,8100
NG-ZORRO,ng-zorro-antd,https://github.com/NG-ZORRO/ng-zorro-antd,8100
