username,repo_name,stars,repo_url
arendst,Tasmota,https://github.com/arendst/Tasmota,17300
MarlinFirmware,Marlin,https://github.com/MarlinFirmware/Marlin,12800
arduino,Arduino,https://github.com/arduino/Arduino,12700
rwaldron,johnny-five,https://github.com/rwaldron/johnny-five,12600
SpacehuhnTech,esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,9800
tinygo-org,tinygo,https://github.com/tinygo-org/tinygo,9600
espressif,arduino-esp32,https://github.com/espressif/arduino-esp32,8300
hybridgroup,gobot,https://github.com/hybridgroup/gobot,7700
gurugio,lowlevelprogramming-university,https://github.com/gurugio/lowlevelprogramming-university,7400
platformio,platformio-core,https://github.com/platformio/platformio-core,5800
bblanchon,ArduinoJson,https://github.com/bblanchon/ArduinoJson,5600
tzapu,WiFiManager,https://github.com/tzapu/WiFiManager,5100
hybridgroup,cylon,https://github.com/hybridgroup/cylon,3900
Arduino-IRremote,Arduino-IRremote,https://github.com/Arduino-IRremote/Arduino-IRremote,3600
blynkkk,blynk-library,https://github.com/blynkkk/blynk-library,3400
arduino,arduino-cli,https://github.com/arduino/arduino-cli,3300
NectarJS,nectarjs,https://github.com/NectarJS/nectarjs,3200
olikraus,u8g2,https://github.com/olikraus/u8g2,2900
gioblu,PJON,https://github.com/gioblu/PJON,2600
1technophile,OpenMQTTGateway,https://github.com/1technophile/OpenMQTTGateway,2500
Serial-Studio,Serial-Studio,https://github.com/Serial-Studio/Serial-Studio,2400
scottlawsonbc,audio-reactive-led-strip,https://github.com/scottlawsonbc/audio-reactive-led-strip,2300
isl-org,OpenBot,https://github.com/isl-org/OpenBot,2100
scottbez1,splitflap,https://github.com/scottbez1/splitflap,2100
crankyoldgit,IRremoteESP8266,https://github.com/crankyoldgit/IRremoteESP8266,2100
nRF24,RF24,https://github.com/nRF24/RF24,1900
stm32duino,Arduino_Core_STM32,https://github.com/stm32duino/Arduino_Core_STM32,1800
Bodmer,TFT_eSPI,https://github.com/Bodmer/TFT_eSPI,1800
blinker-iot,blinker-library,https://github.com/blinker-iot/blinker-library,1700
ThingPulse,esp8266-oled-ssd1306,https://github.com/ThingPulse/esp8266-oled-ssd1306,1700
