username,repo_name,stars,repo_url
sindresorhus,awesome,https://github.com/sindresorhus/awesome,195000
vinta,awesome-python,https://github.com/vinta/awesome-python,122000
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,83000
avelino,awesome-go,https://github.com/avelino/awesome-go,77900
trimstray,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,64000
papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,53600
521xueweihan,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,53500
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,50100
jaywcjlove,awesome-mac,https://github.com/jaywcjlove/awesome-mac,48500
DopplerHQ,awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,45600
sindresorhus,awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,44200
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,42300
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,39900
prakhar1989,awesome-courses,https://github.com/prakhar1989/awesome-courses,39600
MunGell,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,39400
vsouza,awesome-ios,https://github.com/vsouza/awesome-ios,39200
binhnguyennus,awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,37800
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,36500
tiimgreen,github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,34100
dypsilon,frontend-dev-bookmarks,https://github.com/dypsilon/frontend-dev-bookmarks,33400
akullpp,awesome-java,https://github.com/akullpp/awesome-java,31700
serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,29900
dkhamsing,open-source-ios-apps,https://github.com/dkhamsing/open-source-ios-apps,29800
brillout,awesome-react-components,https://github.com/brillout/awesome-react-components,29400
ziadoz,awesome-php,https://github.com/ziadoz/awesome-php,26400
herrbischoff,awesome-macos-command-line,https://github.com/herrbischoff/awesome-macos-command-line,25600
rust-unofficial,awesome-rust,https://github.com/rust-unofficial/awesome-rust,25000
goabstract,Awesome-Design-Tools,https://github.com/goabstract/Awesome-Design-Tools,24000
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,23200
sindresorhus,awesome-electron,https://github.com/sindresorhus/awesome-electron,22500
