username,repo_name,stars,repo_url
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,21900
microsoft,recommenders,https://github.com/microsoft/recommenders,12700
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,12600
pulumi,pulumi,https://github.com/pulumi/pulumi,11900
Azure,azure-quickstart-templates,https://github.com/Azure/azure-quickstart-templates,11600
mozilla,sops,https://github.com/mozilla/sops,9400
microsoft,computervision-recipes,https://github.com/microsoft/computervision-recipes,8400
caprover,caprover,https://github.com/caprover/caprover,8300
google,go-cloud,https://github.com/google/go-cloud,8300
microsoft,azuredatastudio,https://github.com/microsoft/azuredatastudio,6700
node-formidable,formidable,https://github.com/node-formidable/formidable,6200
infracost,infracost,https://github.com/infracost/infracost,6100
midwayjs,midway,https://github.com/midwayjs/midway,5500
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,4800
budtmo,docker-android,https://github.com/budtmo/docker-android,4300
aquasecurity,tfsec,https://github.com/aquasecurity/tfsec,4200
nccgroup,ScoutSuite,https://github.com/nccgroup/ScoutSuite,4100
cloud-custodian,cloud-custodian,https://github.com/cloud-custodian/cloud-custodian,4100
bridgecrewio,checkov,https://github.com/bridgecrewio/checkov,4000
Azure,autorest,https://github.com/Azure/autorest,3700
simov,grant,https://github.com/simov/grant,3600
Azure,azure-sdk-for-net,https://github.com/Azure/azure-sdk-for-net,3400
microsoft,SynapseML,https://github.com/microsoft/SynapseML,3200
hashicorp,terraform-provider-azurerm,https://github.com/hashicorp/terraform-provider-azurerm,3200
Azure,azure-cli,https://github.com/Azure/azure-cli,3000
Azure,azure-powershell,https://github.com/Azure/azure-powershell,3000
Azure,MachineLearningNotebooks,https://github.com/Azure/MachineLearningNotebooks,2900
mlabouardy,komiser,https://github.com/mlabouardy/komiser,2700
APIs-guru,openapi-directory,https://github.com/APIs-guru/openapi-directory,2700
Azure,azure-sdk-for-python,https://github.com/Azure/azure-sdk-for-python,2600
