username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,105000
nvm-sh,nvm,https://github.com/nvm-sh/nvm,56500
junegunn,fzf,https://github.com/junegunn/fzf,43100
dylanaraps,pure-bash-bible,https://github.com/dylanaraps/pure-bash-bible,30700
google,zx,https://github.com/google/zx,30200
koalaman,shellcheck,https://github.com/koalaman/shellcheck,28200
LeCoupa,awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,27700
mathiasbynens,dotfiles,https://github.com/mathiasbynens/dotfiles,27600
acmesh-official,acme.sh,https://github.com/acmesh-official/acme.sh,25900
starship,starship,https://github.com/starship/starship,24100
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,23200
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,18300
Nyr,openvpn-install,https://github.com/Nyr/openvpn-install,14800
dylanaraps,neofetch,https://github.com/dylanaraps/neofetch,14700
rbenv,rbenv,https://github.com/rbenv/rbenv,14100
withfig,autocomplete,https://github.com/withfig/autocomplete,14000
powerline,powerline,https://github.com/powerline/powerline,13200
shelljs,shelljs,https://github.com/shelljs/shelljs,13100
Bash-it,bash-it,https://github.com/Bash-it/bash-it,12900
faressoft,terminalizer,https://github.com/faressoft/terminalizer,12500
jessfraz,dockerfiles,https://github.com/jessfraz/dockerfiles,12400
denisidoro,navi,https://github.com/denisidoro/navi,10400
codota,TabNine,https://github.com/codota/TabNine,9000
rgcr,m-cli,https://github.com/rgcr/m-cli,8800
alexanderepstein,Bash-Snippets,https://github.com/alexanderepstein/Bash-Snippets,8700
direnv,direnv,https://github.com/direnv/direnv,8600
skywind3000,awesome-cheatsheets,https://github.com/skywind3000/awesome-cheatsheets,8600
kanaka,mal,https://github.com/kanaka/mal,8500
carlospolop,PEASS-ng,https://github.com/carlospolop/PEASS-ng,8200
angristan,openvpn-install,https://github.com/angristan/openvpn-install,7800
