username,repo_name,stars,repo_url
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,62900
ccxt,ccxt,https://github.com/ccxt/ccxt,23800
HelloZeroNet,ZeroNet,https://github.com/HelloZeroNet/ZeroNet,17400
freqtrade,freqtrade,https://github.com/freqtrade/freqtrade,16900
askmike,gekko,https://github.com/askmike/gekko,9900
bbfamily,abu,https://github.com/bbfamily/abu,8900
solana-labs,solana,https://github.com/solana-labs/solana,7700
lbryio,lbry-sdk,https://github.com/lbryio/lbry-sdk,7100
dvf,blockchain,https://github.com/dvf/blockchain,6800
yeasy,blockchain_guide,https://github.com/yeasy/blockchain_guide,6000
lightningnetwork,lnd,https://github.com/lightningnetwork/lnd,5900
spesmilo,electrum,https://github.com/spesmilo/electrum,5600
butor,blackbird,https://github.com/butor/blackbird,5500
btcsuite,btcd,https://github.com/btcsuite/btcd,4700
bitcoinjs,bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib,4500
bitcoinj,bitcoinj,https://github.com/bitcoinj/bitcoinj,4300
bisq-network,bisq,https://github.com/bisq-network/bisq,3900
CryptoSignal,Crypto-Signal,https://github.com/CryptoSignal/Crypto-Signal,3900
jesse-ai,jesse,https://github.com/jesse-ai/jesse,3700
michaelgrosner,tribeca,https://github.com/michaelgrosner/tribeca,3700
coinpride,CryptoList,https://github.com/coinpride/CryptoList,3700
Scanate,EthList,https://github.com/Scanate/EthList,3600
RomelTorres,alpha_vantage,https://github.com/RomelTorres/alpha_vantage,3600
Zheaoli,awesome-coins,https://github.com/Zheaoli/awesome-coins,3500
bitpay,wallet,https://github.com/bitpay/wallet,3500
btcpayserver,btcpayserver,https://github.com/btcpayserver/btcpayserver,3400
Jeiwan,blockchain_go,https://github.com/Jeiwan/blockchain_go,3300
SqueezerIO,squeezer,https://github.com/SqueezerIO/squeezer,3300
cointop-sh,cointop,https://github.com/cointop-sh/cointop,3100
bitcoin-wallet,bitcoin-wallet,https://github.com/bitcoin-wallet/bitcoin-wallet,2800
