username,repo_name,stars,repo_url
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,149000
practical-tutorials,project-based-learning,https://github.com/practical-tutorials/project-based-learning,65200
azl397985856,leetcode,https://github.com/azl397985856/leetcode,47200
x64dbg,x64dbg,https://github.com/x64dbg/x64dbg,38300
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,36500
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,24900
microsoft,calculator,https://github.com/microsoft/calculator,24000
CMU-Perceptual-Computing-Lab,openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,23700
huihut,interview,https://github.com/huihut/interview,23400
yuzu-emu,yuzu,https://github.com/yuzu-emu/yuzu,19600
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,18800
changkun,modern-cpp-tutorial,https://github.com/changkun/modern-cpp-tutorial,16900
ethereum,solidity,https://github.com/ethereum/solidity,15600
microsoft,vcpkg,https://github.com/microsoft/vcpkg,15300
catchorg,Catch2,https://github.com/catchorg/Catch2,14700
gabime,spdlog,https://github.com/gabime/spdlog,14200
AnthonyCalandra,modern-cpp-features,https://github.com/AnthonyCalandra/modern-cpp-features,13800
doocs,leetcode,https://github.com/doocs/leetcode,13500
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,13300
Qv2ray,Qv2ray,https://github.com/Qv2ray/Qv2ray,13300
facebook,infer,https://github.com/facebook/infer,13100
CoatiSoftware,Sourcetrail,https://github.com/CoatiSoftware/Sourcetrail,12500
google,tink,https://github.com/google/tink,12200
antlr,antlr4,https://github.com/antlr/antlr4,11800
kyleneideck,BackgroundMusic,https://github.com/kyleneideck/BackgroundMusic,11200
SFTtech,openage,https://github.com/SFTtech/openage,10900
compiler-explorer,compiler-explorer,https://github.com/compiler-explorer/compiler-explorer,10400
OpenRCT2,OpenRCT2,https://github.com/OpenRCT2/OpenRCT2,10400
Ciphey,Ciphey,https://github.com/Ciphey/Ciphey,9600
microsoft,IoT-For-Beginners,https://github.com/microsoft/IoT-For-Beginners,9400
