username,repo_name,stars,repo_url
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,63200
neovim,neovim,https://github.com/neovim/neovim,52000
git,git,https://github.com/git/git,41500
obsproject,obs-studio,https://github.com/obsproject/obs-studio,37200
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,36500
serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,29900
FFmpeg,FFmpeg,https://github.com/FFmpeg/FFmpeg,28800
vim,vim,https://github.com/vim/vim,26600
curl,curl,https://github.com/curl/curl,24500
ggreer,the_silver_searcher,https://github.com/ggreer/the_silver_searcher,23400
huihut,interview,https://github.com/huihut/interview,23400
ruby,ruby,https://github.com/ruby/ruby,19000
mpv-player,mpv,https://github.com/mpv-player/mpv,18200
pbatard,rufus,https://github.com/pbatard/rufus,17900
google,flatbuffers,https://github.com/google/flatbuffers,17700
ossrs,srs,https://github.com/ossrs/srs,17600
oracle,graal,https://github.com/oracle/graal,16800
radareorg,radare2,https://github.com/radareorg/radare2,16000
microsoft,vcpkg,https://github.com/microsoft/vcpkg,15300
shadowsocks,shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,14800
allinurl,goaccess,https://github.com/allinurl/goaccess,14500
kovidgoyal,kitty,https://github.com/kovidgoyal/kitty,14200
jarun,nnn,https://github.com/jarun/nnn,13800
vurtun,nuklear,https://github.com/vurtun/nuklear,13400
facebook,infer,https://github.com/facebook/infer,13100
TheAlgorithms,C,https://github.com/TheAlgorithms/C,12800
CoatiSoftware,Sourcetrail,https://github.com/CoatiSoftware/Sourcetrail,12500
hashcat,hashcat,https://github.com/hashcat/hashcat,12100
qmk,qmk_firmware,https://github.com/qmk/qmk_firmware,11900
s-matyukevich,raspberry-pi-os,https://github.com/s-matyukevich/raspberry-pi-os,11300
