username,repo_name,stars,repo_url
metabase,metabase,https://github.com/metabase/metabase,27900
eclipse,deeplearning4j,https://github.com/eclipse/deeplearning4j,12400
logseq,logseq,https://github.com/logseq/logseq,12100
LightTable,LightTable,https://github.com/LightTable/LightTable,11700
penpot,penpot,https://github.com/penpot/penpot,9800
kanaka,mal,https://github.com/kanaka/mal,8500
lk-geimfari,awesomo,https://github.com/lk-geimfari/awesomo,8300
tonsky,datascript,https://github.com/tonsky/datascript,4700
reagent-project,reagent,https://github.com/reagent-project/reagent,4400
riemann,riemann,https://github.com/riemann/riemann,4100
weavejester,compojure,https://github.com/weavejester/compojure,3900
bbatsov,clojure-style-guide,https://github.com/bbatsov/clojure-style-guide,3800
izhangzhihao,intellij-rainbow-brackets,https://github.com/izhangzhihao/intellij-rainbow-brackets,3700
ring-clojure,ring,https://github.com/ring-clojure/ring,3400
status-im,status-react,https://github.com/status-im/status-react,3400
clojure-emacs,cider,https://github.com/clojure-emacs/cider,3300
viebel,klipse,https://github.com/viebel/klipse,2900
bhauman,lein-figwheel,https://github.com/bhauman/lein-figwheel,2900
tallesl,Rich-Hickey-fanclub,https://github.com/tallesl/Rich-Hickey-fanclub,2800
babashka,babashka,https://github.com/babashka/babashka,2700
twosigma,beakerx,https://github.com/twosigma/beakerx,2600
pedestal,pedestal,https://github.com/pedestal/pedestal,2500
clj-commons,aleph,https://github.com/clj-commons/aleph,2400
weavejester,hiccup,https://github.com/weavejester/hiccup,2400
razum2um,awesome-clojure,https://github.com/razum2um/awesome-clojure,2300
http-kit,http-kit,https://github.com/http-kit/http-kit,2300
defold,defold,https://github.com/defold/defold,2100
onyx-platform,onyx,https://github.com/onyx-platform/onyx,2000
anmonteiro,lumo,https://github.com/anmonteiro/lumo,1900
xtdb,xtdb,https://github.com/xtdb/xtdb,1800
