username,repo_name,stars,repo_url
realm,SwiftLint,https://github.com/realm/SwiftLint,15900
facebook,infer,https://github.com/facebook/infer,13100
analysis-tools-dev,static-analysis,https://github.com/analysis-tools-dev/static-analysis,9700
checkstyle,checkstyle,https://github.com/checkstyle/checkstyle,7000
SonarSource,sonarqube,https://github.com/SonarSource/sonarqube,6600
Kristories,awesome-guidelines,https://github.com/Kristories/awesome-guidelines,6500
facebook,pyre-check,https://github.com/facebook/pyre-check,5800
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,4900
detekt,detekt,https://github.com/detekt/detekt,4400
simplecov-ruby,simplecov,https://github.com/simplecov-ruby/simplecov,4400
import-js,eslint-plugin-import,https://github.com/import-js/eslint-plugin-import,3900
PyCQA,pylint,https://github.com/PyCQA/pylint,3900
pmd,pmd,https://github.com/pmd/pmd,3800
phpro,grumphp,https://github.com/phpro/grumphp,3700
htmlhint,HTMLHint,https://github.com/htmlhint/HTMLHint,2800
kucherenko,jscpd,https://github.com/kucherenko/jscpd,2500
codeclimate,codeclimate,https://github.com/codeclimate/codeclimate,2300
trekhleb,state-of-the-art-shitcode,https://github.com/trekhleb/state-of-the-art-shitcode,2300
uber,piranha,https://github.com/uber/piranha,1900
wemake-services,wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide,1800
ehmicky,cross-platform-node-guide,https://github.com/ehmicky/cross-platform-node-guide,1200
Tencent,feflow,https://github.com/Tencent/feflow,1100
urish,typewiz,https://github.com/urish/typewiz,1100
Tencent,CodeAnalysis,https://github.com/Tencent/CodeAnalysis,1100
jakzal,phpqa,https://github.com/jakzal/phpqa,1000
imgbot,Imgbot,https://github.com/imgbot/Imgbot,877
joshuaclayton,unused,https://github.com/joshuaclayton/unused,875
SonarSource,SonarJS,https://github.com/SonarSource/SonarJS,796
pdepend,pdepend,https://github.com/pdepend/pdepend,787
SonarSource,SonarTS,https://github.com/SonarSource/SonarTS,767
