username,repo_name,stars,repo_url
ovity,octotree,https://github.com/ovity/octotree,21900
gitpod-io,gitpod,https://github.com/gitpod-io/gitpod,7500
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,4900
danger,danger,https://github.com/danger/danger,4800
danger,danger-js,https://github.com/danger/danger-js,4300
joho,awesome-code-review,https://github.com/joho/awesome-code-review,3300
ajinabraham,nodejsscan,https://github.com/ajinabraham/nodejsscan,1900
houndci,hound,https://github.com/houndci/hound,1900
microsoft,vscode-pull-request-github,https://github.com/microsoft/vscode-pull-request-github,1800
mbj,mutant,https://github.com/mbj/mutant,1800
crev-dev,cargo-crev,https://github.com/crev-dev/cargo-crev,1600
reviewboard,reviewboard,https://github.com/reviewboard/reviewboard,1400
ryanmcdermott,code-review-tips,https://github.com/ryanmcdermott/code-review-tips,1100
bit4woo,python_sec,https://github.com/bit4woo/python_sec,1100
Tencent,CodeAnalysis,https://github.com/Tencent/CodeAnalysis,1100
code-review-checklists,java-concurrency,https://github.com/code-review-checklists/java-concurrency,1000
jiangsir404,Audit-Learning,https://github.com/jiangsir404/Audit-Learning,830
TeamCodeStream,codestream,https://github.com/TeamCodeStream/codestream,759
enlightn,enlightn,https://github.com/enlightn/enlightn,635
palantir,policy-bot,https://github.com/palantir/policy-bot,466
bsamseth,cpp-project,https://github.com/bsamseth/cpp-project,455
uwolfer,gerrit-intellij-plugin,https://github.com/uwolfer/gerrit-intellij-plugin,437
mookid,diffr,https://github.com/mookid/diffr,433
mgreiler,code-review-checklist,https://github.com/mgreiler/code-review-checklist,406
JetBrains,Qodana,https://github.com/JetBrains/Qodana,348
dpnishant,raptor,https://github.com/dpnishant/raptor,329
sjparkinson,static-review,https://github.com/sjparkinson/static-review,325
wandersoncferreira,code-review,https://github.com/wandersoncferreira/code-review,300
burrito-brothers,shiba,https://github.com/burrito-brothers/shiba,289
charignon,github-review,https://github.com/charignon/github-review,278
