username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,143000
junegunn,fzf,https://github.com/junegunn/fzf,43100
sharkdp,bat,https://github.com/sharkdp/bat,33300
wagoodman,dive,https://github.com/wagoodman/dive,30700
sherlock-project,sherlock,https://github.com/sherlock-project/sherlock,30200
google,zx,https://github.com/google/zx,30200
BurntSushi,ripgrep,https://github.com/BurntSushi/ripgrep,30100
chubin,cheat.sh,https://github.com/chubin/cheat.sh,28500
cli,cli,https://github.com/cli/cli,27800
jesseduffield,lazygit,https://github.com/jesseduffield/lazygit,26500
spf13,cobra,https://github.com/spf13/cobra,25800
angular,angular-cli,https://github.com/angular/angular-cli,25300
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,23200
google,python-fire,https://github.com/google/python-fire,22100
n8n-io,n8n,https://github.com/n8n-io/n8n,21700
tqdm,tqdm,https://github.com/tqdm/tqdm,21600
sharkdp,fd,https://github.com/sharkdp/fd,21100
ibraheemdev,modern-unix,https://github.com/ibraheemdev/modern-unix,21000
vercel,pkg,https://github.com/vercel/pkg,20000
avajs,ava,https://github.com/avajs/ava,19700
chalk,chalk,https://github.com/chalk/chalk,18200
vadimdemedes,ink,https://github.com/vadimdemedes/ink,18100
urfave,cli,https://github.com/urfave/cli,17600
svg,svgo,https://github.com/svg/svgo,17500
gpakosz,.tmux,https://github.com/gpakosz/.tmux,16200
allinurl,goaccess,https://github.com/allinurl/goaccess,14500
withfig,autocomplete,https://github.com/withfig/autocomplete,14000
FormidableLabs,webpack-dashboard,https://github.com/FormidableLabs/webpack-dashboard,13900
jarun,nnn,https://github.com/jarun/nnn,13800
infinitered,ignite,https://github.com/infinitered/ignite,13700
