username,repo_name,stars,repo_url
vercel,next.js,https://github.com/vercel/next.js,83900
rust-lang,rust,https://github.com/rust-lang/rust,65099
webpack,webpack,https://github.com/webpack/webpack,60800
sveltejs,svelte,https://github.com/sveltejs/svelte,57000
gatsbyjs,gatsby,https://github.com/gatsbyjs/gatsby,52600
JetBrains,kotlin,https://github.com/JetBrains/kotlin,40800
babel,babel,https://github.com/babel/babel,40600
parcel-bundler,parcel,https://github.com/parcel-bundler/parcel,40400
evanw,esbuild,https://github.com/evanw/esbuild,31100
vlang,v,https://github.com/vlang/v,27800
markedjs,marked,https://github.com/markedjs/marked,27200
swc-project,swc,https://github.com/swc-project/swc,21300
vercel,pkg,https://github.com/vercel/pkg,20000
v8,v8,https://github.com/v8/v8,19300
AssemblyScript,assemblyscript,https://github.com/AssemblyScript/assemblyscript,13700
ziglang,zig,https://github.com/ziglang/zig,13100
Konloch,bytecode-viewer,https://github.com/Konloch/bytecode-viewer,12800
nim-lang,Nim,https://github.com/nim-lang/Nim,12600
gopherjs,gopherjs,https://github.com/gopherjs/gopherjs,11000
RustPython,RustPython,https://github.com/RustPython/RustPython,10900
compiler-explorer,compiler-explorer,https://github.com/compiler-explorer/compiler-explorer,10400
goplus,gop,https://github.com/goplus/gop,8000
apache,tvm,https://github.com/apache/tvm,7900
numba,numba,https://github.com/numba/numba,7400
JetBrains,kotlin-native,https://github.com/JetBrains/kotlin-native,7100
elm,compiler,https://github.com/elm/compiler,6800
aalhour,awesome-compilers,https://github.com/aalhour/awesome-compilers,6600
Nuitka,Nuitka,https://github.com/Nuitka/Nuitka,6600
DoctorWkt,acwj,https://github.com/DoctorWkt/acwj,6200
rescript-lang,rescript-compiler,https://github.com/rescript-lang/rescript-compiler,5700
